dataset_accession,gene_id,probe_id,probe_variance,gene_symbol,gene_symbol_raw,gene_title,probes_per_gene
GSE63061,6474,ILMN_1756411,0.00427694072762451,SHOX2,SHOX2,short stature homeobox 2,3
GSE63061,64743,ILMN_1805512,0.0449466752000186,WDR13,WDR13,WD repeat domain 13,1
GSE63061,64744,ILMN_1781468,0.169671073030083,SMAP2,SMAP2,small ArfGAP2,2
GSE63061,64745,ILMN_1782257,0.0213709391576976,METTL17,METTL17,methyltransferase like 17,3
GSE63061,64746,ILMN_1665945,0.0417244044336657,ACBD3,ACBD3,acyl-CoA binding domain containing 3,1
GSE63061,64747,ILMN_1789751,0.0594347771426741,MFSD1,MFSD1,major facilitator superfamily domain containing 1,1
GSE63061,64748,ILMN_1667319,0.080272808736648,PLPPR2,PLPPR2,phospholipid phosphatase related 2,1
GSE63061,64750,ILMN_1675429,0.000754367194301914,SMURF2,SMURF2,SMAD specific E3 ubiquitin protein ligase 2,1
GSE63061,64753,ILMN_1706935,0.0143825524420715,CCDC136,CCDC136,coiled-coil domain containing 136,1
GSE63061,64754,ILMN_1741954,0.013319159539422,SMYD3,SMYD3,SET and MYND domain containing 3,1
GSE63061,64755,ILMN_1685289,0.0379793704189101,C16orf58,C16orf58,chromosome 16 open reading frame 58,1
GSE63061,64756,ILMN_1790603,0.0190325156040937,ATPAF1,ATPAF1,ATP synthase mitochondrial F1 complex assembly factor 1,2
GSE63061,64757,ILMN_1799106,0.112525683688662,MARC1,MARC1,mitochondrial amidoxime reducing component 1,1
GSE63061,64759,ILMN_1667893,0.0374719397895109,TNS3,TNS3,tensin 3,1
GSE63061,6476,ILMN_1739144,0.00529068754029725,SI,SI,sucrase-isomaltase,1
GSE63061,64760,ILMN_1802971,0.0183449275319919,FAM160B2,FAM160B2,family with sequence similarity 160 member B2,2
GSE63061,64761,ILMN_1718558,0.0662686540583766,PARP12,PARP12,poly(ADP-ribose) polymerase family member 12,1
GSE63061,64762,ILMN_1707553,0.00125426098545768,GAREM1,GAREM1,GRB2 associated regulator of MAPK1 subtype 1,1
GSE63061,64763,ILMN_1790460,0.00167278092651343,ZNF574,ZNF574,zinc finger protein 574,1
GSE63061,64764,ILMN_1751097,0.0169858982896412,CREB3L2,CREB3L2,cAMP responsive element binding protein 3 like 2,1
GSE63061,64766,ILMN_2294274,0.0228156673217306,S100PBP,S100PBP,S100P binding protein,3
GSE63061,64768,ILMN_1732873,0.000787713356475907,IPPK,IPPK,inositol-pentakisphosphate 2-kinase,1
GSE63061,64769,ILMN_2076940,0.00950633022825317,MEAF6,MEAF6,MYST/Esa1 associated factor 6,2
GSE63061,6477,ILMN_1711627,0.0392063411066208,SIAH1,SIAH1,siah E3 ubiquitin protein ligase 1,3
GSE63061,64770,ILMN_1677239,0.0811952760400103,CCDC14,CCDC14,coiled-coil domain containing 14,1
GSE63061,64771,ILMN_1704253,0.0116895920097031,C6orf106,C6orf106,chromosome 6 open reading frame 106,2
