dataset_accession,expression_column,sample_geo_accession,sample_title,diagnosis_clean,n_features,missing_values,missing_fraction,mean,sd,min,q1,median,q3,max,iqr,median_mad_z,iqr_mad_z,qc_flag
GSE63060,4856050003_D,GSM1539159,4856050003_D,Control,38322,0,0,7.91215382495908,0.958719588778625,7.20448891,7.450974448,7.5432298705,7.85378973725,15.04978951,0.402815289249999,0,0.717617007568958,pass
GSE63060,4856076030_B,GSM1539160,4856076030_B,Control,38322,0,0,7.91215380264984,0.958719600218,7.20448891,7.450974448,7.5432298705,7.85378973725,15.04978951,0.402815289249999,0,0.717617007568958,pass
GSE63060,4856050009_H,GSM1539161,4856050009_H,Control,38322,0,0,7.91215297865132,0.958720008670247,7.20448891,7.45096694225,7.5432298705,7.85378973725,15.04978951,0.402822795,0,0.717617007568958,pass
GSE63060,4856076029_J,GSM1539162,4856076029_J,Control,38322,0,0,7.91215266990215,0.958720154669376,7.20448891,7.45096596975,7.5432298705,7.85378973725,15.04978951,0.4028237675,0,0.717617007568958,pass
GSE63060,4856076042_F,GSM1539163,4856076042_F,Control,38322,0,0,7.91214864102255,0.958721711331731,7.20448891,7.45096596975,7.54321732,7.85378973725,15.04978951,0.4028237675,0,0.717617007568958,pass
GSE63060,4856076042_J,GSM1539164,4856076042_J,Control,38322,0,0,7.91214859878078,0.958721724202733,7.20448891,7.45096596975,7.5432203345,7.85378973725,15.04978951,0.4028237675,0,0.717617007568958,pass
GSE63060,4856076027_D,GSM1539165,4856076027_D,Control,38322,0,0,7.91215216780267,0.958720384101977,7.20448891,7.45096596975,7.5432298705,7.85378973725,15.04978951,0.4028237675,0,0.717617007568958,pass
GSE63060,4856076028_I,GSM1539166,4856076028_I,Control,38322,0,0,7.9121511269534,0.95872082752618,7.20448891,7.45096596975,7.5432298705,7.85378973725,15.04978951,0.4028237675,0,0.717617007568958,pass
GSE63060,4856050009_L,GSM1539167,4856050009_L,Control,38322,0,0,7.91215412779803,0.958719430377423,7.20448891,7.450974448,7.5432298705,7.85378973725,15.04978951,0.402815289249999,0,0.717617007568958,pass
GSE63060,4856076007_A,GSM1539168,4856076007_A,Control,38322,0,0,7.91214998983662,0.958721262452946,7.20448891,7.450962738,7.54321732,7.85378973725,15.04978951,0.402826999249999,0,0.717617007568958,pass
GSE63060,4856076026_F,GSM1539169,4856076026_F,Control,38322,0,0,7.91215043267943,0.958721099214353,7.20448891,7.45096596975,7.54321732,7.85378973725,15.04978951,0.4028237675,0,0.717617007568958,pass
GSE63060,4856076027_F,GSM1539170,4856076027_F,Control,38322,0,0,7.91215212600459,0.958720402759932,7.20448891,7.45096596975,7.5432298705,7.85378973725,15.04978951,0.4028237675,0,0.717617007568958,pass
GSE63060,4856076038_I,GSM1539171,4856076038_I,Control,38322,0,0,7.91215279515524,0.95872009594448,7.20448891,7.45096596975,7.5432298705,7.85378973725,15.04978951,0.4028237675,0,0.717617007568958,pass
GSE63060,4856076003_F,GSM1539172,4856076003_F,Control,38322,0,0,7.91215234179573,0.958720305769367,7.20448891,7.450962738,7.5432298705,7.85378973725,15.04978951,0.402826999249999,0,0.717617007568958,pass
GSE63060,4856076029_G,GSM1539173,4856076029_G,Control,38322,0,0,7.91215207141175,0.958720426918167,7.20448891,7.45096596975,7.5432298705,7.85378973725,15.04978951,0.4028237675,0,0.717617007568958,pass
GSE63060,4856050058_D,GSM1539174,4856050058_D,Control,38322,0,0,7.91215326464553,0.9587198699847,7.20448891,7.450974448,7.5432298705,7.85378973725,15.04978951,0.402815289249999,0,0.717617007568958,pass
GSE63060,4856050046_L,GSM1539175,4856050046_L,Control,38322,0,0,7.9121534106126,0.958719797928806,7.20448891,7.450976393,7.5432298705,7.85378973725,15.04978951,0.402813344249999,0,0.717617007568958,pass
GSE63060,4856076008_E,GSM1539176,4856076008_E,Control,38322,0,0,7.91215339133112,0.958719807495413,7.20448891,7.450974448,7.5432298705,7.85378973725,15.04978951,0.402815289249999,0,0.717617007568958,pass
GSE63060,4856076030_C,GSM1539177,4856076030_C,Control,38322,0,0,7.91215331174832,0.958719846827451,7.20448891,7.450974448,7.54322987,7.85378973725,15.04978951,0.402815289249999,0,0.717617007568958,pass
GSE63060,4856076003_D,GSM1539178,4856076003_D,Control,38322,0,0,7.91215267667703,0.958720151565367,7.20448891,7.45096596975,7.5432298705,7.85378973725,15.04978951,0.4028237675,0,0.717617007568958,pass
GSE63060,4856050008_H,GSM1539179,4856050008_H,Control,38322,0,0,7.91215206983928,0.958720427694485,7.20448891,7.45096596975,7.5432298705,7.85378973725,15.04978951,0.4028237675,0,0.717617007568958,pass
