dataset_accession,gene_id,gene_symbol,s3_rank,s3_logFC,validation_logFC,validation_P.Value,validation_adj.P.Val,direction_concordant,nominal_concordant,fdr_concordant,auc_oriented,s3_adj.P.Val,s3_P.Value,validation_AveExpr,validation_t,validation_B,mapped,auc_ge_060
GSE140829,6742,SSBP1,74,-0.287938014520581,-0.0155541028255226,0.577864034694041,0.864853082187248,TRUE,FALSE,FALSE,0.496074279917075,2.06097571213807e-10,5.10914599063504e-13,9.88781047882511,-0.556953201661353,-6.71624285095462,TRUE,FALSE
GSE140829,8087,FXR1,75,-0.227915718219961,0.00485765340448775,0.842956873684179,0.957359286706506,FALSE,FALSE,FALSE,0.504719685942393,2.20158654173324e-10,5.57261871896364e-13,8.68437070573713,0.198238610695311,-6.85053009297634,TRUE,FALSE
GSE140829,10412,NSA2,76,-0.504034427947287,-0.0983134318945082,0.0295949571367647,0.337662042904736,TRUE,TRUE,FALSE,0.558047726169997,2.20361619635767e-10,5.6352587871993e-13,10.5149617839117,-2.18311822601746,-4.52024708812574,TRUE,FALSE
GSE140829,51574,LARP7,77,-0.383521236610178,-0.0357712827382321,0.22328650620409,0.646860460652848,TRUE,FALSE,FALSE,0.528362224868775,2.2463183213404e-10,5.80307692220394e-13,8.4076500558972,-1.21968673035083,-6.13361529141543,TRUE,FALSE
GSE140829,6647,SOD1,78,-0.405801710980362,-0.0514082066054918,0.0669118112228871,0.439174665798519,TRUE,FALSE,FALSE,0.541727316836487,2.7377151519885e-10,7.21541752389851e-13,11.3730216653265,-1.83715870092092,-5.20313747209413,TRUE,FALSE
GSE140829,7297,TYK2,79,0.302225839418144,0.0465983031789109,0.0297478008531332,0.337947873910352,TRUE,TRUE,FALSE,0.550108067575317,2.87531388651944e-10,7.6530978661078e-13,11.3948493511434,2.18106203123591,-4.52464556868197,TRUE,FALSE
GSE140829,9360,PPIG,80,-0.278409134950648,-0.00958003163228881,0.678957361420842,0.908339517253544,TRUE,FALSE,FALSE,0.505293105729787,3.19986994309578e-10,8.60045415528588e-13,7.9252186877326,-0.41418279336636,-6.78496168168024,TRUE,FALSE
GSE140829,10283,CWC27,81,-0.206633671885919,-0.0435906302460319,0.0172840759445775,0.285682605301507,TRUE,TRUE,FALSE,0.558731418993428,4.18144594113447e-10,1.1597092594661e-12,8.28832122616624,-2.39034789355035,-4.05623835364005,TRUE,FALSE
GSE140829,26354,GNL3,82,-0.214714866905887,-0.0648635099799077,0.022662406426517,0.313906223293997,TRUE,TRUE,FALSE,0.564906709011513,4.20000368661317e-10,1.18365533676275e-12,8.21118304768806,-2.28773872334542,-4.29111254901594,TRUE,FALSE
GSE140829,3320,HSP90AA1,83,-0.531668151296047,-0.078209087614536,0.0978173329981775,0.496492161639808,TRUE,FALSE,FALSE,0.537669269110317,4.58358990245511e-10,1.30371927187414e-12,11.025907227757,-1.65932262683237,-5.50918655435121,TRUE,FALSE
GSE140829,4830,NME1,84,-0.343957726678855,-0.0697140755259519,0.0239101866099843,0.316806724468258,TRUE,TRUE,FALSE,0.556570067487098,4.71366080198256e-10,1.36148988330508e-12,9.15680273369359,-2.26702239068279,-4.33731484384659,TRUE,FALSE
GSE140829,79657,RPAP3,85,-0.234388231089453,-0.0412748188251617,0.0215296196527664,0.307355450959892,TRUE,TRUE,FALSE,0.55698910502404,4.79311518826e-10,1.40083738083899e-12,8.21913091409772,-2.30742618621892,-4.24682537215176,TRUE,FALSE
GSE140829,103910,MYL12B,86,-0.3604054149958,-0.0143378676556304,0.587974016710039,0.869798227299131,TRUE,FALSE,FALSE,0.509836354814521,4.86634299185498e-10,1.43493752434532e-12,12.2443736433408,-0.542202899852722,-6.72427722669549,TRUE,FALSE
GSE140829,29081,METTL5,87,-0.301896754440588,-0.0154511297582191,0.533734159831191,0.847809085137109,TRUE,FALSE,FALSE,0.514511931542499,5.25736071516695e-10,1.5776746574923e-12,8.03300963992154,-0.62284399510376,-6.67772397653743,TRUE,FALSE
GSE140829,51372,TMA7,88,-0.79364220762582,-0.082309740251091,0.237817354807639,0.660162363145584,TRUE,FALSE,FALSE,0.535022716245424,5.42007150190393e-10,1.64064582803835e-12,9.80473308458584,-1.18218946533959,-6.17812152209171,TRUE,FALSE
GSE140829,5685,PSMA4,89,-0.520799279130839,-0.05237690098298,0.308386447206239,0.71701194466058,TRUE,FALSE,FALSE,0.529928101980504,5.47806333598098e-10,1.67249467749537e-12,9.83112072697899,-1.01988380680253,-6.35483731656765,TRUE,FALSE
GSE140829,90843,TCEAL8,90,-0.245906623611272,-0.0486396418199791,0.0205311875930435,0.302083624717983,TRUE,TRUE,FALSE,0.559415111816859,5.54203073680585e-10,1.70648616184722e-12,8.1807902539756,-2.32554399584585,-4.20574257970362,TRUE,FALSE
GSE140829,22826,DNAJC8,91,-0.335615893016988,-0.0342069271877209,0.099181509318121,0.498207695690512,TRUE,FALSE,FALSE,0.540690750297737,5.72658903260655e-10,1.7782581673195e-12,10.8000580876922,-1.65259103340842,-5.52016851719823,TRUE,FALSE
GSE140829,55299,BRIX1,92,-0.26274081500909,-0.0760904346970012,0.00263845702758296,0.142503420608002,TRUE,TRUE,FALSE,0.593026333201006,6.22232480238885e-10,1.94843425783274e-12,8.44569477309082,-3.02555490512973,-2.38091560467191,TRUE,FALSE
GSE140829,84268,RPAIN,93,-0.298197488907954,-0.0549402278471093,0.044735990832998,0.386736663035427,TRUE,TRUE,FALSE,0.557077323452869,6.29028541001503e-10,1.98612946769954e-12,9.58202822690094,-2.01331624909134,-4.86981567010282,TRUE,FALSE
GSE140829,25949,SYF2,94,-0.355984818464132,-0.049323791338268,0.0640734548172457,0.433166544835226,TRUE,FALSE,FALSE,0.539654183758987,6.47130285696826e-10,2.07705822088382e-12,10.1539512714817,-1.85669429592461,-5.16764986305588,TRUE,FALSE
GSE140829,689,BTF3,95,-0.327834655302321,-0.0451553315370218,0.150989614521104,0.564016621193158,TRUE,FALSE,FALSE,0.533567112169732,6.57028792429738e-10,2.1259738599574e-12,12.7109929709542,-1.4387377696838,-5.84608674545076,TRUE,FALSE
